iter	Passed	Remaining
1769	406630	397440
1770	406836	397188
1771	407056	396948
1772	407259	396692
1773	407465	396440
1774	407672	396188
1775	407888	395946
1776	408116	395714
1777	408342	395481
1778	408551	395231
1779	408775	394996
1780	409001	394763
1781	409228	394530
1782	409446	394290
1783	409654	394040
1784	409874	393801
1785	410083	393551
1786	410314	393323
1787	410536	393086
1788	410781	392871
1789	410991	392622
1790	411194	392367
1791	411408	392123
1792	411642	391898
1793	411870	391667
1794	412082	391421
1795	412301	391181
1796	412505	390927
1797	412716	390680
1798	412953	390457
1799	413167	390213
1800	413400	389987
1801	413627	389755
1802	413849	389518
1803	414091	389300
1804	414316	389067
1805	414533	388826
1806	414745	388580
1807	414971	388347
1808	415191	388109
1809	415415	387873
1810	415638	387638
1811	415854	387396
1812	416104	387185
1813	416331	386954
1814	416551	386716
1815	416758	386465
1816	416967	386217
1817	417189	385981
1818	417393	385727
1819	417607	385484
1820	417829	385247
1821	418041	385002
1822	418274	384776
1823	418489	384533
1824	418697	384284
1825	418930	384057
1826	419156	383825
1827	419375	383586
1828	419584	383338
1829	419789	383086
1830	419998	382838
1831	420229	382610
1832	420457	382380
1833	420681	382146
1834	420886	381894
1835	421095	381646
1836	421323	381416
1837	421558	381191
1838	421774	380950
1839	421997	380715
1840	422204	380465
1841	422426	380229
1842	422654	379998
1843	422867	379755
1844	423084	379514
1845	423299	379272
1846	423523	379038
1847	423750	378806
1848	423977	378575
1849	424184	378326
1850	424404	378088
1851	424606	377835
1852	424826	377598
1853	425029	377345
1854	425241	377101
1855	425452	376855
1856	425691	376635
1857	425908	376395
1858	426133	376162
1859	426360	375931
1860	426591	375703
1861	426818	375471
1862	427048	375243
1863	427266	375004
1864	427497	374776
1865	427721	374542
1866	427939	374303
1867	428155	374063
1868	428355	373808
1869	428562	373559
1870	428772	373313
1871	428983	373068
1872	429207	372834
1873	429439	372608
1874	429663	372375
1875	429895	372148
1876	430108	371904
1877	430316	371657
1878	430529	371415
1879	430750	371178
1880	430956	370929
1881	431172	370689
1882	431375	370438
1883	431579	370187
1884	431778	369931
1885	431997	369694
1886	432223	369463
1887	432434	369218
1888	432644	368972
1889	432848	368722
1890	433061	368480
1891	433272	368236
1892	433482	367991
1893	433699	367751
1894	433907	367505
1895	434121	367262
1896	434330	367017
1897	434558	366787
1898	434783	366555
1899	435006	366321
1900	435268	366119
1901	435615	365990
1902	435850	365766
1903	436104	365557
1904	436334	365330
1905	436557	365095
1906	436766	364850
1907	436976	364605
1908	437199	364370
1909	437439	364150
1910	437651	363908
1911	437890	363687
1912	438088	363432
1913	438302	363191
1914	438527	362958
1915	438753	362727
1916	438956	362477
1917	439173	362237
1918	439402	362008
1919	439607	361760
1920	439817	361515
1921	440041	361282
1922	440261	361046
1923	440496	360822
1924	440754	360617
1925	440985	360389
1926	441223	360168
1927	441439	359929
1928	441653	359687
1929	441893	359468
1930	442114	359232
1931	442337	358998
1932	442580	358780
1933	442832	358570
1934	443075	358353
1935	443306	358125
1936	443540	357900
1937	443772	357673
1938	443995	357440
1939	444211	357201
1940	444422	356957
1941	444641	356720
1942	444863	356486
1943	445075	356243
1944	445298	356010
1945	445509	355766
1946	445726	355527
1947	445950	355295
1948	446181	355068
1949	446409	354838
1950	446623	354597
1951	446861	354376
1952	447072	354132
1953	447277	353884
1954	447514	353662
1955	447731	353423
1956	447982	353212
1957	448231	352999
1958	448468	352776
1959	448689	352541
1960	448906	352303
1961	449195	352121
1962	449433	351899
1963	449660	351668
1964	449880	351433
1965	450108	351203
1966	450359	350992
1967	450595	350768
1968	450846	350556
1969	451081	350332
1970	451313	350106
1971	451541	349875
1972	451745	349627
1973	451972	349397
1974	452196	349164
1975	452423	348934
1976	452641	348696
1977	452852	348453
1978	453068	348214
1979	453292	347982
1980	453520	347752
1981	453727	347506
1982	453929	347257
1983	454136	347011
1984	454344	346766
1985	454556	346525
1986	454765	346280
1987	454970	346034
1988	455182	345792
1989	455388	345546
1990	455609	345311
1991	455846	345088
1992	456067	344853
1993	456296	344625
1994	456524	344395
1995	456742	344159
1996	456974	343932
1997	457197	343698
1998	457405	343454
1999	457625	343218
2000	457841	342980
2001	458068	342750
2002	458287	342514
2003	458504	342276
2004	458766	342072
2005	458991	341841
2006	459202	341599
2007	459425	341365
2008	459664	341145
2009	459877	340904
2010	460096	340667
2011	460304	340424
2012	460512	340179
2013	460729	339942
2014	460958	339713
2015	461173	339475
2016	461384	339233
2017	461590	338987
2018	461813	338754
2019	462023	338512
2020	462249	338281
2021	462467	338044
2022	462662	337791
2023	462877	337552
2024	463095	337316
2025	463297	337068
2026	463518	336834
2027	463726	336590
2028	463961	336366
2029	464196	336142
2030	464415	335906
2031	464632	335669
2032	464856	335437
2033	465068	335197
2034	465288	334962
2035	465499	334720
2036	465718	334484
2037	465964	334268
2038	466191	334039
2039	466428	333816
2040	466658	333588
2041	466873	333350
2042	467082	333107
2043	467287	332862
2044	467505	332625
2045	467717	332385
2046	467927	332144
2047	468135	331900
2048	468334	331650
2049	468543	331408
2050	468739	331156
2051	468968	330929
2052	469189	330695
2053	469419	330467
2054	469624	330222
2055	469827	329975
2056	470034	329732
2057	470231	329482
2058	470454	329249
2059	470650	328998
2060	470865	328760
2061	471106	328540
2062	471326	328306
2063	471556	328078
2064	471766	327837
2065	471974	327595
2066	472175	327347
2067	472378	327101
2068	472596	326866
2069	472801	326621
2070	473015	326383
2071	473223	326140
2072	473424	325893
2073	473641	325657
2074	473855	325418
2075	474067	325179
2076	474267	324931
2077	474479	324691
2078	474710	324465
2079	474925	324228
2080	475126	323980
2081	475329	323735
2082	475536	323492
2083	475745	323251
2084	475956	323011
2085	476175	322776
2086	476380	322532
2087	476594	322294
2088	476805	322054
2089	477016	321814
2090	477236	321580
2091	477457	321348
2092	477670	321109
2093	477877	320867
2094	478090	320628
2095	478287	320379
2096	478483	320129
2097	478690	319887
2098	478901	319647
2099	479124	319416
2100	479324	319169
2101	479522	318921
2102	479719	318672
2103	479948	318444
2104	480162	318207
2105	480362	317960
2106	480559	317711
2107	480769	317472
2108	480975	317229
2109	481176	316983
2110	481380	316739
2111	481582	316494
2112	481795	316256
2113	482007	316018
2114	482220	315780
2115	482428	315539
2116	482625	315290
2117	482822	315042
2118	483018	314793
2119	483229	314555
2120	483449	314321
2121	483655	314079
2122	483871	313843
2123	484081	313604
2124	484294	313367
2125	484500	313124
2126	484703	312881
2127	484899	312632
2128	485087	312379
2129	485335	312163
2130	485548	311926
2131	485743	311677
2132	485938	311428
2133	486141	311185
2134	486353	310947
2135	486561	310706
2136	486770	310467
2137	486985	310231
2138	487192	309990
2139	487376	309734
2140	487593	309499
2141	487792	309254
2142	487997	309011
2143	488205	308771
2144	488420	308535
2145	488629	308296
2146	488835	308055
2147	489041	307813
2148	489243	307570
2149	489450	307329
2150	489650	307084
2151	489860	306845
2152	490056	306598
2153	490269	306361
2154	490484	306125
2155	490735	305912
2156	490950	305677
2157	491143	305428
2158	491344	305184
2159	491549	304942
2160	491753	304700
2161	491972	304467
2162	492194	304236
2163	492393	303991
2164	492588	303744
2165	492796	303504
2166	493003	303264
2167	493210	303024
2168	493426	302789
2169	493638	302552
2170	493852	302316
2171	494052	302072
2172	494260	301833
2173	494466	301592
2174	494667	301349
2175	494877	301111
2176	495069	300862
2177	495292	300631
2178	495502	300394
2179	495704	300151
2180	495911	299911
2181	496140	299685
2182	496351	299448
2183	496553	299205
2184	496786	298981
2185	496991	298740
2186	497198	298501
2187	497413	298266
2188	497616	298024
2189	497822	297784
2190	498023	297541
2191	498223	297297
2192	498416	297049
2193	498629	296814
2194	498829	296570
2195	499024	296324
2196	499218	296077
2197	499430	295840
2198	499637	295601
2199	499842	295361
2200	500048	295121
2201	500268	294890
2202	500474	294650
2203	500674	294407
2204	500872	294163
2205	501080	293924
2206	501307	293697
2207	501525	293465
2208	501736	293228
2209	501943	292989
2210	502144	292747
2211	502358	292512
2212	502565	292273
2213	502765	292030
2214	502972	291791
2215	503181	291554
2216	503391	291317
2217	503602	291081
2218	503812	290844
2219	504026	290609
2220	504231	290369
2221	504418	290120
2222	504644	289892
2223	504854	289655
2224	505056	289414
2225	505264	289176
2226	505470	288937
2227	505669	288694
2228	505884	288460
2229	506098	288226
2230	506306	287988
2231	506535	287763
2232	506805	287560
2233	507023	287328
2234	507242	287096
2235	507456	286862
2236	507668	286627
2237	507882	286393
2238	508108	286165
2239	508318	285929
2240	508526	285691
2241	508731	285452
2242	508946	285218
2243	509159	284984
2244	509367	284746
2245	509577	284510
2246	509787	284274
2247	509992	284034
2248	510196	283795
2249	510419	283566
2250	510688	283362
2251	510919	283138
2252	511147	282912
2253	511360	282677
2254	511594	282454
2255	511858	282248
2256	512114	282037
2257	512335	281807
2258	512563	281580
2259	512811	281365
2260	513046	281142
2261	513278	280919
2262	513490	280684
2263	513705	280450
2264	513923	280218
2265	514151	279992
2266	514361	279756
2267	514587	279528
2268	514796	279292
2269	515018	279062
2270	515238	278832
2271	515468	278607
2272	515672	278367
2273	515883	278132
2274	516107	277903
2275	516327	277673
2276	516534	277435
2277	516748	277202
2278	516971	276973
2279	517210	276752
2280	517437	276526
2281	517664	276299
2282	517899	276077
2283	518155	275865
